username,password,email,firstName,lastName,enabled
enginc_1,A7k2Bm9p,enginc_1@urfu.online,Студент,Студентов 1,True
enginc_2,X3m9Kp2q,enginc_2@urfu.online,Студент,Студентов 2,True
enginc_3,P8n4Lr5t,enginc_3@urfu.online,Студент,Студентов 3,True
enginc_4,M2j6Ws7y,enginc_4@urfu.online,Студент,Студентов 4,True
enginc_5,Q9h3Zx1k,enginc_5@urfu.online,Студент,Студентов 5,True
enginc_6,R5b8Nc4m,enginc_6@urfu.online,Студент,Студентов 6,True
enginc_7,T1v7Fp9d,enginc_7@urfu.online,Студент,Студентов 7,True
enginc_8,K6g2Yh5w,enginc_8@urfu.online,Студент,Студентов 8,True
enginc_9,L4s9Jq3r,enginc_9@urfu.online,Студент,Студентов 9,True
enginc_10,W8x1Mz6n,enginc_10@urfu.online,Студент,Студентов 10,True
